,in_conn_compound,in_conn_complex03,in_conn_complex05,in_conn_complex07
0,autocfg,digest,brotli,bumpalo
1,bare-metal,error-chain,bzip2,clap_derive
2,bit_field,git2,ipconfig,cpp_demangle
3,bitfield,num-rational,lru-cache,dirs-sys
4,cortex-m,num-traits,publicsuffix,fallible-iterator
5,defmt,parking_lot,trust-dns-proto,flame
6,defmt-macros,rand,zstd-safe,flamer
7,defmt-parser,rand_chacha,,gimli
8,derive_arbitrary,serde_yaml,,indexmap
9,futures-channel,strum,,linked-hash-map
10,futures-core,tempfile,,object
11,futures-executor,tokio-stream,,os_str_bytes
12,futures-macro,walkdir,,rustc-demangle
13,futures-sink,,,rustc-std-workspace-alloc
14,futures-util,,,simd-adler32
15,glob,,,terminal_size
16,heck,,,textwrap
17,itoa,,,unicase
18,lock_api,,,wasm-bindgen-macro-support
19,memchr,,,yaml-rust
20,memoffset,,,
21,nb,,,
22,num_cpus,,,
23,owning_ref,,,
24,pin-project-lite,,,
25,pin-utils,,,
26,proc-macro-error,,,
27,proc-macro-error-attr,,,
28,proc-macro-hack,,,
29,proc-macro-hack-impl,,,
30,rustc-std-workspace-std,,,
31,scopeguard,,,
32,slab,,,
33,smallvec,,,
34,spin,,,
35,stable_deref_trait,,,
36,synstructure,,,
37,tokio-io,,,
38,unicode-segmentation,,,
39,unicode-width,,,
40,utf8-ranges,,,
41,vcell,,,
42,vcpkg,,,
43,volatile-register,,,
44,winapi-i686-pc-windows-gnu,,,
45,winapi-util,,,
46,winapi-x86_64-pc-windows-gnu,,,
47,windows_aarch64_msvc,,,
48,windows_i686_gnu,,,
49,windows_i686_msvc,,,
50,windows_x86_64_gnu,,,
51,windows_x86_64_msvc,,,